latitude,longitude,elevation_m,distance_to_river_m,landcover,soil_type,population_density_per_km2,built_up_percent,urban_rural,rainfall_7d_mm,monthly_rainfall_mm,drainage_index,ndvi,ndwi,historical_flood_count,infrastructure_score,flood_occurrence_current_event
6.048567,80.217983,84,1433.6,0,2,543,2.5,0,66.4,170.1,0.625,-0.17,0.055,0,76,0
8.266008,81.307851,175,1662.3,3,2,867,1.0,0,30.9,279.5,0.591,0.035,0.199,0,42,0
9.663973,80.902717,50,2934.9,0,3,613,9.8,0,20.2,43.9,0.649,-0.203,-0.037,0,52,0
8.672515,79.847703,45,1863.3,3,2,142,16.2,0,72.8,306.9,0.369,0.524,-0.111,0,48,0
9.452662,80.533001,34,946.2,4,1,840,1.0,0,31.9,332.7,0.27,-0.119,-0.1,0,51,0
8.947233,81.240706,1708,3015.3,4,0,344,12.3,0,119.6,308.1,0.901,-0.543,-0.096,0,40,0
7.300069,80.058595,41,4781.8,2,1,10,46.9,0,255.7,220.7,0.394,0.152,0.118,0,15,1
6.397384,80.180789,163,361.9,0,1,575,13.0,0,171.8,89.5,0.726,0.363,-0.062,1,55,0
6.905317,80.949672,47,361.9,0,1,234,36.3,0,242.1,60.7,0.335,-0.118,-0.403,0,29,0
7.811871,80.920893,117,135.9,2,1,373,47.1,0,32.6,140.6,0.336,0.584,0.318,0,27,0
7.274049,80.931248,6,4368.9,4,0,964,27.9,0,37.9,30.8,0.425,0.183,0.218,2,58,0
8.427803,80.571176,19,1606.1,3,0,10,10.2,0,137.7,195.0,0.237,0.889,0.168,0,43,0
8.699449,81.187164,38,3458.5,2,3,854,22.3,0,15.1,250.3,0.55,0.528,-0.333,0,61,0
6.090212,80.024138,65,2679.1,0,2,506,6.4,0,18.1,368.6,0.477,0.275,0.152,0,32,0
8.424497,80.717034,26,1064.8,0,2,51,33.8,0,188.1,150.8,0.327,0.586,0.321,0,72,0
7.882171,80.147721,1127,69.1,3,4,490,1.0,0,144.3,204.5,0.798,0.475,0.056,0,31,0
9.156107,80.861403,123,1468.6,0,3,700,38.2,0,44.3,130.0,0.254,-0.039,-0.169,0,12,0
6.867047,79.898567,30,702.8,6,1,174,1.0,0,36.6,173.5,0.336,0.269,0.592,0,69,0
6.048764,81.803858,78,1987.3,2,3,602,21.7,0,60.0,227.1,0.203,0.184,-0.033,0,60,0
9.770389,81.589787,82,1600.8,0,4,775,16.8,0,3.9,117.2,0.717,0.431,-0.283,0,50,0
6.53723,80.0109,656,813.0,0,0,545,8.7,0,16.6,302.2,0.682,0.038,-0.149,0,34,0
7.047539,79.691462,2,1132.1,5,3,344,39.9,1,99.2,103.4,0.205,-0.047,0.478,1,28,0
8.667346,80.653281,39,639.4,4,4,81,16.8,0,149.7,409.7,0.706,-0.207,0.415,0,59,1
8.179139,80.710948,64,1567.2,5,3,324,11.3,1,101.1,158.9,0.519,-0.043,-0.116,0,56,0
5.947063,79.813005,53,996.8,0,3,1191,11.1,1,58.1,108.6,0.53,0.701,-0.006,0,36,0
6.218243,80.543077,51,284.8,4,0,989,31.5,0,171.9,347.9,0.644,0.324,0.159,0,62,0
6.065054,80.018999,107,1154.7,6,0,645,48.2,0,193.7,167.4,0.297,0.226,-0.199,0,56,0
6.943616,80.690902,4,4054.0,0,0,729,35.7,0,64.9,520.3,0.228,-0.308,-0.143,1,49,1
7.541506,81.004175,25,2002.3,0,3,519,1.0,0,188.8,63.3,0.63,-0.118,-0.407,0,60,0
6.85043,81.638347,762,1166.9,6,3,272,1.0,0,43.7,42.0,0.079,-0.017,0.748,1,30,0
9.693253,79.738523,52,260.5,0,2,669,18.5,0,133.3,255.4,0.483,-0.16,0.069,0,48,0
9.294367,81.775382,787,1923.9,5,4,1051,23.6,1,144.1,302.2,0.405,0.174,-0.016,0,45,0
6.341894,81.113651,104,4205.7,0,2,1430,60.8,1,28.7,414.1,0.603,-0.439,-0.538,0,91,0
8.096573,81.790827,55,564.9,2,0,95,1.0,0,17.4,156.7,0.875,0.733,-0.349,0,38,0
7.144524,81.456808,35,1884.9,0,1,569,2.2,0,135.3,216.9,0.2,-0.134,-0.005,0,49,0
6.354833,79.655814,64,1800.5,5,4,1125,30.4,1,152.9,58.9,0.446,0.214,0.147,0,52,0
8.884339,81.591293,38,47.8,2,3,411,42.0,0,189.9,250.3,0.667,0.76,0.244,1,59,1
9.029122,80.246015,117,1025.6,6,1,2357,16.3,1,37.8,231.4,0.169,0.318,-0.039,0,36,0
7.707727,80.400531,0,6522.8,5,4,1580,71.2,1,115.6,196.8,0.718,0.297,-0.059,2,32,0
6.04645,80.332039,2,183.4,0,0,50,21.6,0,116.6,333.8,0.49,0.075,0.142,0,50,0
6.522854,80.153132,55,5398.1,0,3,614,7.0,0,270.3,117.4,0.568,0.349,0.238,0,5,0
7.651616,80.351586,123,223.3,6,4,537,1.0,0,108.0,165.8,0.81,-0.003,0.147,1,54,0
8.391639,80.339071,79,1110.5,0,2,1136,1.0,1,42.0,107.8,0.019,-0.099,-0.37,0,43,0
6.161698,79.745925,33,2077.4,5,1,221,1.0,1,59.6,374.6,0.654,0.357,0.116,0,42,0
6.055627,81.678964,179,2153.8,6,1,268,25.0,0,124.0,214.2,0.802,0.146,0.099,0,83,0
9.074563,80.448393,124,3550.2,5,1,10,17.7,1,2.6,62.2,0.32,0.244,-0.195,0,33,0
8.929696,81.476482,1,825.8,0,2,557,1.2,0,97.3,164.6,0.741,0.328,-0.042,1,45,0
6.631408,79.771181,117,627.6,5,4,210,51.1,1,84.0,8.6,0.269,-0.024,-0.215,0,44,0
8.982542,80.010161,34,566.5,4,1,1490,40.8,1,8.0,8.7,0.529,0.464,-0.196,0,51,0
9.450436,81.891752,0,2560.8,0,3,10,24.0,0,134.6,44.1,0.67,-0.109,-0.141,0,63,0
8.639695,81.461225,96,1379.3,6,4,284,40.1,0,8.1,130.9,0.329,0.07,0.347,0,70,0
7.560115,81.539555,121,1772.3,0,0,531,35.2,0,29.6,222.5,0.073,0.051,0.128,0,30,0
6.10186,81.683805,839,14.1,3,4,493,15.1,0,19.9,47.4,0.311,0.411,-0.12,0,72,0
8.176071,80.428321,1228,180.8,2,3,231,34.2,0,11.3,278.0,0.525,0.349,-0.209,0,50,0
6.362088,79.990305,5,3802.5,5,1,206,38.3,1,273.1,260.7,0.893,-0.63,-0.112,0,95,1
9.165935,80.68329,11,359.9,2,2,210,40.9,0,1.5,142.3,0.439,0.331,-0.243,1,39,0
6.692218,80.070127,34,2833.4,6,3,231,3.0,0,29.9,523.2,0.41,0.424,0.307,0,16,0
6.516022,80.640728,5,4281.2,1,2,511,20.4,0,173.0,30.0,0.805,0.036,0.297,2,86,0
7.100784,81.715968,914,8856.7,0,0,321,25.0,0,118.6,59.8,0.485,-0.015,0.062,0,47,0
8.88918,81.463941,609,63.2,0,0,1833,35.2,1,83.8,338.9,0.548,0.052,0.364,1,50,0
6.954162,81.691189,90,235.3,3,3,1019,1.0,1,122.2,170.0,0.253,0.398,-0.109,2,53,0
8.164698,81.063536,181,1195.1,5,1,1766,37.4,1,37.4,332.8,0.271,-0.121,-0.089,0,54,0
6.870016,81.437801,54,10779.8,5,0,1266,46.4,1,153.0,356.0,0.474,0.772,-0.164,0,27,1
9.739839,80.651804,1031,2256.7,4,3,809,13.5,0,19.8,256.5,0.344,0.046,0.027,0,51,0
7.241955,80.734592,77,658.9,5,0,77,21.5,1,56.6,150.5,0.269,0.783,-0.04,0,72,0
7.955018,81.617001,1560,9872.0,0,3,431,12.8,0,7.8,323.5,0.802,0.137,0.036,0,28,0
8.583791,79.857641,117,4611.6,4,0,1109,1.0,1,11.7,237.2,0.706,0.021,0.052,0,70,0
7.094915,80.743501,17,262.5,4,1,477,1.0,0,118.6,494.4,0.209,-0.068,0.132,2,48,1
8.757623,81.198911,15,1126.1,5,3,326,2.6,1,25.6,175.9,0.218,0.504,0.473,0,51,0
8.054246,79.955525,43,5197.6,0,1,402,1.0,0,56.1,133.8,0.866,0.15,-0.194,0,95,0
7.683787,80.33025,58,600.4,1,4,71,4.4,0,46.3,22.7,0.406,0.325,-0.307,0,48,0
9.573118,79.947838,149,872.2,4,3,918,10.2,0,56.1,116.2,0.489,0.263,-0.013,0,69,0
7.686956,81.012949,36,2587.2,0,4,652,18.1,0,136.4,226.1,0.714,-0.099,0.221,0,54,0
7.112552,80.45711,12,473.2,5,4,708,10.4,1,128.5,267.4,0.214,0.277,-0.192,0,43,0
5.999219,80.338809,1643,1721.0,3,1,1892,30.7,1,86.9,357.0,0.742,0.607,-0.117,0,47,0
6.78806,79.725756,25,2851.0,3,4,808,57.0,0,8.0,268.0,0.883,0.091,-0.252,0,43,0
6.442005,81.066505,549,646.4,3,1,454,14.1,0,72.4,94.7,0.318,0.228,0.066,0,43,0
6.261623,81.195793,96,2003.2,6,4,409,29.4,0,5.3,31.1,0.57,0.401,0.402,0,37,0
8.469418,81.384256,63,1075.0,3,1,52,5.0,0,173.4,307.7,0.441,0.265,-0.202,0,42,0
7.989241,80.252084,41,39.0,2,1,109,15.9,0,19.5,196.9,0.187,0.404,0.179,0,52,0
6.209359,80.510806,17,1143.7,4,3,309,1.0,0,42.4,501.2,0.572,0.292,0.093,0,60,1
9.696383,81.007407,7,2227.3,0,3,437,22.7,0,62.0,435.3,0.425,0.462,-0.115,0,55,0
7.472071,81.166793,1,4989.6,3,1,72,15.3,0,86.9,25.7,0.815,0.396,-0.132,0,64,0
6.630247,80.681845,115,1313.0,5,4,504,25.4,1,115.0,78.1,0.567,0.046,-0.372,0,50,0
9.11001,81.692772,15,5754.2,1,2,458,30.3,0,16.9,332.9,0.532,0.098,0.391,0,17,0
9.173516,80.221097,86,564.2,5,3,715,16.1,1,59.4,298.4,0.952,-0.006,-0.46,0,68,0
6.312305,80.788405,25,6009.9,2,4,655,1.0,0,218.7,324.7,0.479,0.58,-0.09,0,5,1
6.032879,81.081096,34,4232.2,4,3,170,3.7,0,52.9,369.4,0.528,0.088,-0.042,0,51,0
8.016166,79.772927,15,523.8,3,3,957,69.3,0,125.6,338.2,0.466,0.287,0.365,0,29,0
5.983719,80.255294,54,1980.1,3,4,489,1.0,0,36.5,314.1,0.669,0.462,-0.069,0,43,0
9.168637,80.089291,27,7681.8,4,2,888,53.8,0,122.3,25.3,0.573,0.461,-0.379,0,33,0
6.109258,80.78579,91,395.1,0,0,576,24.4,0,170.9,21.3,0.163,0.254,0.278,2,74,0
5.980172,80.529035,28,5466.6,2,3,65,38.2,0,45.2,398.0,0.343,0.037,0.175,0,75,0
6.31056,80.275169,19,7861.3,5,4,10,20.6,1,0.7,342.4,0.848,-0.315,-0.021,0,33,0
6.482965,80.989559,43,2380.1,2,2,233,4.1,0,52.7,64.8,0.683,0.981,-0.033,0,41,0
8.279723,81.227564,1,31.0,0,1,958,1.0,0,101.1,290.3,0.46,0.065,-0.033,0,54,0
6.828146,80.880471,123,456.4,5,4,760,39.1,1,101.0,160.6,0.54,-0.237,-0.37,1,39,0
6.711142,81.037763,102,1474.0,3,1,716,16.7,0,10.4,329.7,0.492,0.713,0.208,0,41,0
9.075149,80.593627,139,1826.8,0,4,450,27.1,0,45.1,356.6,0.194,0.06,0.372,0,61,0
8.674794,79.898472,10,575.2,0,2,114,73.1,0,159.6,287.8,0.7,-0.241,-0.057,0,24,1
9.481725,80.425758,91,26.7,0,1,133,13.4,0,86.9,455.2,0.207,0.14,-0.515,0,49,0
7.334799,79.887027,56,1871.7,0,2,10,1.0,0,14.8,53.8,0.061,0.364,-0.659,0,40,0
8.72134,80.765333,43,7868.1,4,2,667,1.7,0,62.6,286.0,0.844,0.527,0.182,0,23,0
9.226623,81.547484,75,3136.2,3,2,393,1.0,0,43.8,398.0,0.461,0.585,-0.152,0,63,0
8.16419,80.372615,11,932.1,2,4,905,41.3,0,10.6,166.6,0.705,0.517,0.349,0,47,0
5.959244,80.116295,1,2172.3,5,2,901,1.0,1,68.8,284.8,0.729,0.365,-0.201,1,87,0
8.833595,81.327945,174,286.9,1,2,2210,8.6,1,105.9,411.2,0.413,0.129,0.225,1,16,1
9.033333,81.332637,25,1247.2,3,2,297,9.9,0,65.1,143.1,0.458,0.376,-0.167,0,44,0
6.284418,81.897508,119,3286.7,5,0,206,1.7,1,40.5,373.1,0.106,0.257,0.097,0,59,0
7.481904,79.805989,130,2254.8,2,2,689,24.2,0,25.8,442.7,0.758,-0.382,0.175,0,58,0
8.644003,80.489526,167,2388.9,5,4,451,1.0,1,129.4,136.4,0.806,0.186,0.131,0,83,0
9.586363,81.087822,1273,2057.7,5,4,539,23.1,1,36.0,226.3,0.342,-0.169,0.11,0,60,0
9.150693,81.893785,67,1251.0,1,2,472,10.7,0,44.3,167.1,0.479,-0.076,-0.123,0,34,0
6.572388,79.907471,1017,496.2,0,1,84,1.0,0,44.0,336.2,0.498,0.071,0.029,0,38,0
6.130764,80.591866,154,1708.0,3,1,353,40.3,0,114.5,10.5,0.408,0.776,-0.106,0,58,0
7.585389,80.806164,52,2665.4,0,1,853,39.8,0,63.1,92.8,0.377,0.045,0.212,0,36,0
9.081855,80.218796,124,1703.0,2,4,186,64.6,0,241.4,176.4,0.325,-0.066,-0.25,0,25,1
9.57916,80.703155,145,335.6,2,0,388,1.0,0,20.0,138.4,0.687,0.072,0.192,0,43,0
7.027806,81.569209,88,485.4,4,0,677,12.3,0,103.8,341.0,0.719,-0.061,0.07,3,14,0
8.025179,81.394299,7,61.1,3,0,88,21.7,0,80.2,339.1,0.349,0.483,0.219,1,66,1
9.916369,80.867257,33,360.4,0,3,1391,61.0,1,19.0,10.2,0.759,0.013,-0.049,1,66,0
9.52703,81.695644,118,633.9,0,1,118,11.0,0,20.6,236.7,0.959,0.083,-0.302,0,35,0
6.78253,79.684148,435,4127.4,0,4,1594,82.9,1,77.6,330.3,0.39,-0.06,-0.356,0,47,0
9.397036,80.15189,67,2757.9,0,3,563,1.0,0,90.3,108.1,0.41,-0.017,0.007,0,43,0
9.223819,80.724038,27,3276.9,5,0,30,1.0,1,9.1,111.1,0.291,0.388,0.103,0,36,0
8.336813,81.758495,15,2123.6,3,0,203,1.0,0,147.3,448.0,0.342,0.686,0.102,0,63,0
6.934112,79.888217,14,2252.9,0,2,10,10.0,0,76.4,185.1,0.364,0.355,0.439,0,40,0
7.781683,80.504138,18,191.6,4,1,154,16.1,0,52.9,240.7,0.778,-0.004,0.125,0,34,0
5.925835,81.851298,44,2606.6,4,2,1709,71.2,1,34.3,211.7,0.587,0.19,0.111,0,19,0
9.043976,79.943628,54,3191.2,0,3,1044,37.0,1,148.8,107.3,0.69,-0.124,-0.04,0,59,0
7.170511,80.207715,8,1670.4,4,1,873,63.7,0,164.0,170.6,0.467,-0.167,-0.36,0,75,0
7.894768,80.644741,12,1509.8,4,2,10,24.5,0,34.9,71.0,0.276,0.14,0.392,0,44,0
7.266109,80.351802,101,3126.3,5,3,552,22.6,1,30.3,239.3,0.019,-0.159,0.566,1,42,0
7.237653,80.919522,27,5449.4,2,2,581,36.7,0,103.4,306.2,0.223,0.463,0.225,0,70,0
7.431308,79.97264,48,5731.6,6,2,338,40.9,0,41.5,259.2,0.731,0.523,0.32,1,54,0
8.119988,80.042956,110,6722.2,2,1,73,49.2,0,216.1,300.5,0.374,0.167,0.475,0,44,0
8.388667,80.95769,100,170.4,5,1,207,16.0,1,103.5,186.7,0.416,0.246,-0.476,0,42,0
6.814197,80.527274,1169,1308.0,5,0,211,16.7,1,99.0,158.8,0.691,0.437,-0.191,0,63,0
7.924834,81.293061,9,1930.8,6,4,312,1.0,0,264.4,97.2,0.307,0.395,0.87,0,79,0
7.516626,80.996839,78,2116.6,3,2,118,22.4,0,140.9,319.8,0.616,0.221,0.218,1,43,0
9.09956,80.365461,79,1733.7,2,3,770,10.6,0,18.2,199.7,0.303,0.728,0.37,0,42,0
6.700439,80.056166,84,608.9,3,4,150,21.2,0,68.7,133.1,0.201,0.136,-0.257,0,55,0
6.481051,79.990752,151,1134.0,3,1,223,23.1,0,56.3,67.0,0.606,0.49,-0.203,0,47,0
6.50402,81.418332,101,1924.3,5,1,702,13.6,1,36.2,211.0,0.76,-0.006,0.118,0,48,0
9.245026,81.070782,0,3068.7,1,1,10,51.4,0,148.2,509.7,0.628,-0.048,0.059,0,53,1
9.361963,81.792934,25,4300.8,2,4,201,8.8,0,76.0,201.3,0.536,0.502,0.131,0,5,0
7.101281,79.823672,131,372.4,0,3,10,22.2,0,33.3,38.0,0.318,-0.178,0.443,0,33,0
9.819601,80.887194,46,6602.3,5,4,442,1.6,1,14.8,233.8,0.79,0.348,0.106,0,62,0
7.559175,81.850997,52,399.1,4,0,270,39.4,0,87.2,245.1,0.603,-0.453,0.276,0,22,0
9.462386,81.690844,147,9543.1,6,3,1209,21.5,1,179.8,497.2,0.746,0.27,0.097,0,81,1
7.570232,80.09045,12,1439.7,0,0,398,1.0,0,15.6,44.2,0.673,-0.07,-0.078,0,27,0
8.011577,81.667293,56,437.0,2,3,1968,48.7,1,71.5,332.3,0.551,0.481,-0.459,0,74,0
7.998214,80.131488,23,666.2,5,4,821,12.9,1,244.3,36.7,0.847,0.352,-0.069,0,48,0
7.585864,80.452285,170,5367.6,5,1,490,41.8,1,98.4,172.5,0.481,0.221,-0.204,0,64,0
6.84051,80.561982,466,3059.3,4,0,258,15.8,0,119.5,180.2,0.587,-0.082,-0.203,0,19,0
9.371785,81.370465,76,5801.7,2,4,202,1.0,0,158.4,358.4,0.21,0.036,0.204,0,52,0
8.519691,81.056204,34,3927.7,6,1,2003,55.8,1,138.3,432.5,0.639,-0.499,0.105,0,52,1
8.650608,81.070596,4,5696.6,0,4,198,37.9,0,1.6,190.3,0.489,-0.433,0.004,0,58,0
7.819725,80.66535,55,1262.2,3,2,777,42.3,0,32.1,232.4,0.448,0.233,-0.199,0,95,0
9.317712,81.320158,58,5284.7,2,2,363,2.1,0,45.5,106.3,0.581,0.237,-0.173,0,5,0
5.940138,81.400604,66,1320.3,1,4,443,24.5,0,70.0,27.4,0.246,-0.024,-0.266,0,25,0
7.080012,80.589138,105,4714.1,5,3,359,1.0,1,53.1,33.2,0.317,0.172,0.045,0,83,0
6.583681,81.571371,50,2934.5,0,3,352,8.5,0,11.3,278.1,0.313,-0.392,0.198,0,63,0
6.653144,81.789342,528,6987.7,3,0,202,36.2,0,144.8,205.1,0.976,0.154,0.525,0,52,0
7.255896,80.355832,82,2019.3,2,1,158,12.8,0,10.9,86.4,0.88,0.623,-0.116,0,85,0
7.573085,80.098527,41,1063.3,3,1,1565,30.2,1,77.2,25.1,0.824,-0.009,-0.145,0,45,0
6.872889,80.648486,31,663.6,2,3,171,39.2,0,60.1,171.9,0.488,-0.027,-0.001,0,39,0
7.701652,80.750359,2,866.6,4,3,492,35.3,0,28.6,360.3,0.603,-0.039,-0.033,0,50,0
6.655,81.336081,166,1578.0,4,3,253,3.2,0,10.7,214.1,0.352,-0.159,-0.037,0,57,0
9.701794,80.757815,77,2413.7,0,3,374,39.7,0,88.9,373.5,0.393,0.214,-0.095,0,64,0
8.761747,80.854532,15,2017.5,5,2,275,9.0,1,1.5,502.5,0.376,-0.052,0.091,0,84,0
8.782701,81.671299,1301,1747.8,0,2,1082,56.7,1,66.9,93.9,0.704,-0.039,0.333,0,67,0
9.678114,81.725952,86,1395.8,5,2,804,4.5,1,62.3,156.8,0.179,0.194,-0.676,0,28,0
6.689581,80.786051,9,74.3,0,1,509,41.2,0,43.0,469.5,0.851,0.02,0.054,4,54,1
6.715929,80.246719,7,377.3,5,4,1400,20.3,1,74.0,242.1,0.375,0.518,0.267,0,34,0
7.545987,81.629635,94,1953.7,0,0,1639,37.1,1,1.4,53.7,0.738,0.064,-0.023,0,35,0
6.42793,80.107953,25,1666.7,3,2,891,43.6,0,42.1,382.3,0.391,0.454,-0.028,0,43,0
6.72945,81.445496,747,979.5,1,2,471,2.4,0,27.1,393.9,0.438,0.158,-0.169,0,20,0
6.882304,80.30631,2,2179.8,6,1,22,24.0,0,144.5,167.0,0.397,0.083,0.31,1,65,1
8.257384,81.445061,747,1289.1,6,2,2052,52.8,1,52.4,213.8,0.391,0.18,0.138,1,41,0
8.535875,81.033895,53,2513.2,5,0,55,40.5,1,24.6,60.9,0.397,0.567,0.028,0,66,0
6.444455,80.702371,28,55.0,0,1,1030,27.1,1,81.1,375.6,0.173,0.24,0.061,0,40,1
9.223397,80.532601,151,885.6,0,4,334,52.8,0,41.0,294.3,0.25,0.411,0.482,0,46,0
9.474593,79.868202,45,219.1,6,4,405,10.4,0,38.7,190.0,0.59,0.375,0.447,0,26,0
7.96993,80.652415,54,3981.9,3,2,591,23.8,0,27.3,185.3,0.385,0.487,0.19,1,54,0
6.980427,79.918944,28,3449.2,5,4,376,27.4,1,11.8,213.6,0.421,0.188,-0.089,0,78,0
8.895304,80.124682,744,490.7,2,2,811,41.7,0,62.2,132.2,0.307,0.04,-0.158,0,73,0
7.650536,79.855847,362,529.0,5,3,1749,31.0,1,116.7,241.7,0.366,0.725,-0.327,0,24,0
8.246219,81.650251,166,1462.7,0,0,757,1.0,0,53.4,24.1,0.405,0.279,0.162,0,70,0
8.238281,81.104417,1487,70.0,0,0,10,7.9,0,77.9,359.1,0.599,0.363,0.074,2,46,1
7.701599,81.673678,678,3442.3,2,1,1008,44.1,1,98.4,161.9,0.182,0.679,-0.116,0,14,0
8.517555,81.10652,71,8089.1,5,2,188,17.7,1,127.8,93.1,0.355,0.086,0.066,0,5,0
7.3389,81.185651,125,624.3,6,3,733,6.3,0,30.0,179.8,0.622,-0.04,0.183,2,12,0
6.92975,81.069861,197,1998.7,6,3,548,65.3,0,125.9,136.5,0.424,0.033,0.259,1,36,0
7.684993,80.235907,80,2322.7,0,4,687,25.8,0,113.2,89.2,0.797,-0.195,0.272,0,27,0
8.927459,81.564419,103,754.2,4,1,39,1.0,0,82.9,267.3,0.661,0.269,0.214,0,70,0
6.569952,79.655228,49,4219.7,0,3,362,28.8,0,41.3,227.2,0.83,0.357,0.6,0,95,0
6.698591,79.869623,20,2133.2,6,1,772,55.5,0,93.2,355.6,0.389,-0.12,0.027,1,74,0
7.715803,80.750787,445,1193.0,2,3,498,31.5,0,47.1,128.3,0.203,0.611,-0.226,0,58,0
8.313977,79.891764,97,14678.0,6,3,278,7.6,0,7.5,136.9,0.677,0.025,0.188,0,60,0
7.983975,81.24517,74,2600.1,0,2,176,7.7,0,121.1,200.0,0.942,0.274,0.241,0,46,0
7.564317,81.009685,19,311.7,0,3,999,13.8,0,99.1,430.7,0.658,0.668,-0.004,1,38,1
6.62043,80.44137,5,1726.5,5,1,1448,75.1,1,109.2,211.1,0.821,-0.076,0.395,1,52,0
7.775958,80.745363,873,4578.7,3,2,1789,21.6,1,48.4,192.7,0.423,0.116,-0.096,0,77,0
6.607879,81.108068,99,2999.6,3,3,1018,65.7,1,185.1,343.6,0.811,0.112,-0.318,0,37,1
8.532959,81.319551,97,1955.0,2,2,528,18.6,0,65.9,27.3,0.789,0.502,-0.494,1,59,0
7.935652,80.230002,57,836.1,6,4,283,35.4,0,106.0,357.2,0.46,0.212,0.358,1,27,1
7.932572,80.673653,16,1583.4,0,0,564,4.4,0,67.8,162.3,0.349,-0.065,-0.374,0,63,0
7.19623,81.367088,21,1082.2,0,1,820,1.8,0,49.7,181.8,0.161,-0.446,-0.148,0,79,0
7.534256,80.399925,215,544.5,0,0,358,18.8,0,176.4,58.5,0.313,-0.387,-0.188,1,5,0
8.976057,80.113473,135,827.2,4,3,324,1.0,0,84.0,145.3,0.539,0.03,-0.007,0,16,0
8.875775,80.373449,49,1208.7,5,1,709,1.0,1,70.8,443.0,0.348,0.33,-0.05,0,44,0
9.679431,81.084156,40,897.8,2,3,871,9.9,0,98.3,389.1,0.88,0.454,-0.119,0,25,0
6.729114,80.924666,30,1232.3,5,3,753,5.0,1,52.5,95.2,0.719,1.0,-0.349,0,29,0
6.489796,81.219221,1282,5544.6,0,2,632,4.7,0,98.0,76.5,0.837,0.164,-0.206,0,38,0
8.704682,80.197939,59,1668.2,4,4,10,1.0,0,78.8,207.8,0.072,0.055,-0.253,0,26,0
8.10371,81.316146,1034,364.9,5,1,874,31.8,1,130.6,191.8,0.232,0.381,-0.092,1,55,0
9.874757,79.869098,108,861.6,6,4,29,59.7,0,155.9,278.2,0.282,0.342,0.565,0,43,0
8.915618,81.819972,369,2229.8,5,4,760,3.4,1,175.9,237.6,0.134,0.179,0.441,0,37,0
8.237606,81.10737,55,1424.7,5,1,349,1.0,1,114.7,94.8,0.433,0.546,0.202,0,24,0
8.536436,81.505163,5,639.5,6,2,407,21.0,0,82.8,326.0,0.237,0.086,0.116,0,15,1
6.14344,81.710854,50,1911.4,6,1,578,1.0,0,143.4,418.0,0.463,0.286,0.17,0,63,0
7.025459,80.770926,101,799.6,6,1,786,16.6,0,37.3,20.6,0.62,0.024,0.562,0,5,0
